algorithm,input_size,cost,runtime,tsp_file
greedy,4,125.38056043206379,0:00:00.000003,Random5.tsp
random_restart,4,101.94192641951568,0:00:00.086427,Random5.tsp
brute_force,5,123.59630257145234,0:00:00.000077,Random5.tsp
brute_restart,5,123.59630257145234,0:00:00.000083,Random5.tsp
random,5,170.05389752811908,0:00:00.000012,Random5.tsp
greedy,5,139.1335417499496,0:00:00.000003,Random5.tsp
random_restart,5,113.67313927589409,0:00:00.104792,Random5.tsp
brute_force,5,123.59630257145234,0:00:00.000077,Random5.tsp
brute_restart,5,123.59630257145234,0:00:00.000083,Random5.tsp
random,5,154.18523284891563,0:00:00.000008,Random5.tsp
greedy,5,139.1335417499496,0:00:00.000004,Random5.tsp
random_restart,5,113.67313927589409,0:00:00.105092,Random5.tsp
brute_force,5,123.59630257145234,0:00:00.000084,Random5.tsp
brute_restart,5,123.59630257145234,0:00:00.000084,Random5.tsp
random,5,157.33363288411803,0:00:00.000009,Random5.tsp
greedy,5,139.1335417499496,0:00:00.000004,Random5.tsp
random_restart,5,113.67313927589409,0:00:00.104977,Random5.tsp
brute_force,2,11.411138335330525,0:00:00.000006,Random7.tsp
brute_restart,2,11.411138335330525,0:00:00.000002,Random7.tsp
random,2,22.82227667066105,0:00:00.000003,Random7.tsp
greedy,2,22.82227667066105,0:00:00.000002,Random7.tsp
random_restart,2,22.82227667066105,0:00:00.026865,Random7.tsp
brute_force,3,27.41330187893375,0:00:00.000006,Random7.tsp
brute_restart,3,27.41330187893375,0:00:00.000003,Random7.tsp
random,3,39.14853333208428,0:00:00.000005,Random7.tsp
greedy,3,35.738476768555365,0:00:00.000002,Random7.tsp
random_restart,3,35.738476768555365,0:00:00.052560,Random7.tsp
brute_force,4,45.948149674433445,0:00:00.000015,Random7.tsp
brute_restart,4,45.948149674433445,0:00:00.000015,Random7.tsp
random,4,45.948149674433445,0:00:00.000005,Random7.tsp
greedy,4,53.06259637630973,0:00:00.000003,Random7.tsp
random_restart,4,39.8315659188883,0:00:00.087459,Random7.tsp
brute_force,5,45.86904746479259,0:00:00.000076,Random7.tsp
brute_restart,5,45.86904746479259,0:00:00.000084,Random7.tsp
random,5,64.12083308596559,0:00:00.000008,Random7.tsp
greedy,5,57.43318653647033,0:00:00.000003,Random7.tsp
random_restart,5,41.9811608561053,0:00:00.110126,Random7.tsp
brute_force,6,47.14368224135517,0:00:00.000526,Random7.tsp
brute_restart,6,47.14368224135517,0:00:00.000557,Random7.tsp
random,6,59.455339333676534,0:00:00.000009,Random7.tsp
greedy,6,54.512839466419685,0:00:00.000004,Random7.tsp
random_restart,6,42.33388624960354,0:00:00.117368,Random7.tsp
brute_force,7,59.8329928904371,0:00:00.004094,Random7.tsp
brute_restart,7,59.8329928904371,0:00:00.004225,Random7.tsp
random,7,88.95870111903548,0:00:00.000016,Random7.tsp
greedy,7,72.95113870105892,0:00:00.000004,Random7.tsp
random_restart,7,53.24945640853477,0:00:00.116461,Random7.tsp
brute_force,2,84.06993857105513,0:00:00.000002,Random8.tsp
brute_restart,2,84.06993857105513,0:00:00.000002,Random8.tsp
random,2,168.13987714211027,0:00:00.000006,Random8.tsp
greedy,2,168.13987714211027,0:00:00.000002,Random8.tsp
random_restart,2,168.13987714211027,0:00:00.026178,Random8.tsp
brute_force,3,162.30032812153553,0:00:00.000005,Random8.tsp
brute_restart,3,162.30032812153553,0:00:00.000004,Random8.tsp
random,3,195.07827366302544,0:00:00.000004,Random8.tsp
greedy,3,195.07827366302544,0:00:00.000002,Random8.tsp
random_restart,3,186.6539246301856,0:00:00.052481,Random8.tsp
brute_force,4,205.5557535142479,0:00:00.000015,Random8.tsp
brute_restart,4,205.5557535142479,0:00:00.000015,Random8.tsp
random,4,229.90935002289794,0:00:00.000005,Random8.tsp
greedy,4,215.0855330320905,0:00:00.000003,Random8.tsp
random_restart,4,206.66118399925062,0:00:00.085231,Random8.tsp
brute_force,5,243.52212404231955,0:00:00.000078,Random8.tsp
brute_restart,5,243.52212404231955,0:00:00.000084,Random8.tsp
random,5,250.56539933467883,0:00:00.000007,Random8.tsp
greedy,5,280.86232546182174,0:00:00.000003,Random8.tsp
random_restart,5,235.09777500947968,0:00:00.110830,Random8.tsp
brute_force,6,275.2669079621106,0:00:00.000522,Random8.tsp
brute_restart,6,275.2669079621106,0:00:00.000562,Random8.tsp
random,6,315.1792441581339,0:00:00.000013,Random8.tsp
greedy,6,316.6258845612345,0:00:00.000003,Random8.tsp
random_restart,6,266.84255892927075,0:00:00.122219,Random8.tsp
brute_force,7,281.46425208273644,0:00:00.004132,Random8.tsp
brute_restart,7,281.46425208273644,0:00:00.004115,Random8.tsp
random,7,442.9145907558583,0:00:00.000011,Random8.tsp
greedy,7,322.8232286818603,0:00:00.000004,Random8.tsp
random_restart,7,260.9713445762613,0:00:00.115533,Random8.tsp
brute_force,2,20.0,0:00:00.000003,a280.tsp
brute_restart,2,20.0,0:00:00.000002,a280.tsp
random,2,40.0,0:00:00.000003,a280.tsp
greedy,2,40.0,0:00:00.000002,a280.tsp
random_restart,2,40.0,0:00:00.027307,a280.tsp
brute_force,3,56.87817782917155,0:00:00.000006,a280.tsp
brute_restart,3,56.87817782917155,0:00:00.000004,a280.tsp
random,3,62.522278072170366,0:00:00.000010,a280.tsp
greedy,3,62.522278072170366,0:00:00.000003,a280.tsp
random_restart,3,62.522278072170366,0:00:00.052537,a280.tsp
brute_force,4,78.64679356876746,0:00:00.000015,a280.tsp
brute_restart,4,78.64679356876746,0:00:00.000016,a280.tsp
random,4,104.40877892446835,0:00:00.000009,a280.tsp
greedy,4,87.54844941612416,0:00:00.000002,a280.tsp
random_restart,4,78.64679356876746,0:00:00.086959,a280.tsp
brute_force,5,103.54844941612416,0:00:00.000076,a280.tsp
brute_restart,5,103.54844941612416,0:00:00.000085,a280.tsp
random,5,144.0551084666494,0:00:00.000018,a280.tsp
greedy,5,103.54844941612416,0:00:00.000003,a280.tsp
random_restart,5,94.64679356876746,0:00:00.111792,a280.tsp
brute_force,6,113.54844941612416,0:00:00.000527,a280.tsp
brute_restart,6,113.54844941612416,0:00:00.000546,a280.tsp
random,6,169.5282038549885,0:00:00.000008,a280.tsp
greedy,6,123.31872106404677,0:00:00.000004,a280.tsp
random_restart,6,104.64679356876746,0:00:00.107528,a280.tsp
brute_force,7,132.03691103205068,0:00:00.004141,a280.tsp
