algorithm,input_size,best_cost,runtime,tsp_file
greedy,11,144.34210943601107,0:00:10.085162,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.088849,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.085963,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:10.098558,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:10.093485,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:10.085615,11NodeDFSBFS.tsp
greedy,11,151.91027040235133,0:00:10.148332,11NodeDFSBFS.tsp
greedy,11,144.34210943601107,0:00:10.085162,11NodeDFSBFS.tsp
greedy,11,153.96643605279706,0:00:10.088849,11NodeDFSBFS.tsp
greedy,11,167.84684736973776,0:00:10.085963,11NodeDFSBFS.tsp
greedy,11,144.37435551252779,0:00:10.098558,11NodeDFSBFS.tsp
greedy,11,165.2756620628839,0:00:10.093485,11NodeDFSBFS.tsp
greedy,11,174.61697150593614,0:00:10.085615,11NodeDFSBFS.tsp
